area_name,area_code,date,new_cases,total_cases
Enfield,E09000010,07 03 2021,7,29245
Enfield,E09000010,08 03 2021,13,29258
Enfield,E09000010,09 03 2021,15,29273
Enfield,E09000010,10 03 2021,18,29291
Enfield,E09000010,11 03 2021,8,29299
Enfield,E09000010,12 03 2021,18,29317
Enfield,E09000010,13 03 2021,8,29325
Enfield,E09000010,14 03 2021,6,29331
Enfield,E09000010,15 03 2021,19,29350
Enfield,E09000010,16 03 2021,15,29365
Enfield,E09000010,17 03 2021,20,29385
Enfield,E09000010,18 03 2021,13,29398
Enfield,E09000010,19 03 2021,12,29410
Enfield,E09000010,20 03 2021,6,29416
Enfield,E09000010,21 03 2021,18,29434
Enfield,E09000010,22 03 2021,22,29456
Enfield,E09000010,23 03 2021,20,29476
Enfield,E09000010,24 03 2021,19,29495
Enfield,E09000010,25 03 2021,13,29508
Enfield,E09000010,26 03 2021,11,29519
Enfield,E09000010,27 03 2021,8,29527
Enfield,E09000010,28 03 2021,14,29541
Enfield,E09000010,29 03 2021,6,29547
Enfield,E09000010,30 03 2021,14,29561
Enfield,E09000010,31 03 2021,5,29566
Enfield,E09000010,01 04 2021,9,29575
Enfield,E09000010,02 04 2021,8,29583
Enfield,E09000010,03 04 2021,12,29595
Enfield,E09000010,04 04 2021,4,29599
Enfield,E09000010,05 04 2021,5,29604
Enfield,E09000010,06 04 2021,7,29611
Enfield,E09000010,07 04 2021,6,29617
Enfield,E09000010,08 04 2021,9,29626
Enfield,E09000010,09 04 2021,8,29634
Enfield,E09000010,10 04 2021,5,29639
Enfield,E09000010,11 04 2021,10,29649
Enfield,E09000010,12 04 2021,9,29658
Enfield,E09000010,13 04 2021,6,29664
Enfield,E09000010,14 04 2021,3,29667
Enfield,E09000010,15 04 2021,16,29683
Enfield,E09000010,16 04 2021,10,29693
Enfield,E09000010,17 04 2021,1,29694
Enfield,E09000010,18 04 2021,12,29706
Enfield,E09000010,19 04 2021,23,29729
Enfield,E09000010,20 04 2021,7,29736
Enfield,E09000010,21 04 2021,4,29740
Enfield,E09000010,22 04 2021,7,29747
Enfield,E09000010,23 04 2021,9,29756
Enfield,E09000010,24 04 2021,8,29764
Enfield,E09000010,25 04 2021,4,29768
Enfield,E09000010,26 04 2021,6,29774
Enfield,E09000010,27 04 2021,6,29780
Enfield,E09000010,28 04 2021,7,29787
Enfield,E09000010,29 04 2021,5,29792
Enfield,E09000010,30 04 2021,7,29799
Enfield,E09000010,01 05 2021,6,29805
Enfield,E09000010,02 05 2021,5,29810
Enfield,E09000010,03 05 2021,5,29815
Enfield,E09000010,04 05 2021,5,29820
Enfield,E09000010,05 05 2021,6,29826
Enfield,E09000010,06 05 2021,11,29837
Enfield,E09000010,07 05 2021,4,29841
Enfield,E09000010,08 05 2021,5,29846
Enfield,E09000010,09 05 2021,8,29854
Enfield,E09000010,10 05 2021,9,29863
Enfield,E09000010,11 05 2021,10,29873
Enfield,E09000010,12 05 2021,5,29878
Enfield,E09000010,13 05 2021,6,29884
Enfield,E09000010,14 05 2021,7,29891
Enfield,E09000010,15 05 2021,11,29902
Enfield,E09000010,16 05 2021,4,29906
Enfield,E09000010,17 05 2021,9,29915
Enfield,E09000010,18 05 2021,8,29923
Enfield,E09000010,19 05 2021,7,29930
Enfield,E09000010,20 05 2021,12,29942
Enfield,E09000010,21 05 2021,9,29951
Enfield,E09000010,22 05 2021,7,29958
Enfield,E09000010,23 05 2021,3,29961
Enfield,E09000010,24 05 2021,3,29964
Enfield,E09000010,25 05 2021,9,29973
Enfield,E09000010,26 05 2021,10,29983
Enfield,E09000010,27 05 2021,7,29990
Enfield,E09000010,28 05 2021,8,29998
Enfield,E09000010,29 05 2021,7,30005
Enfield,E09000010,30 05 2021,7,30012
Enfield,E09000010,31 05 2021,11,30023
Enfield,E09000010,01 06 2021,14,30037
Enfield,E09000010,02 06 2021,10,30047
Enfield,E09000010,03 06 2021,18,30065
Enfield,E09000010,04 06 2021,14,30079
Enfield,E09000010,05 06 2021,10,30089
Enfield,E09000010,06 06 2021,12,30101
Enfield,E09000010,07 06 2021,20,30121
Enfield,E09000010,08 06 2021,35,30156
Enfield,E09000010,09 06 2021,16,30172
Enfield,E09000010,10 06 2021,21,30193
Enfield,E09000010,11 06 2021,19,30212
Enfield,E09000010,12 06 2021,20,30232
Enfield,E09000010,13 06 2021,15,30247
Enfield,E09000010,14 06 2021,26,30273
Enfield,E09000010,15 06 2021,25,30298
Enfield,E09000010,16 06 2021,23,30321
Enfield,E09000010,17 06 2021,30,30351
Enfield,E09000010,18 06 2021,12,30363
Enfield,E09000010,19 06 2021,29,30392
Enfield,E09000010,20 06 2021,23,30415
Enfield,E09000010,21 06 2021,28,30443
Enfield,E09000010,22 06 2021,37,30480
Enfield,E09000010,23 06 2021,43,30523
